country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
CPV,ENVIRONMENT,2024,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,ENVIRONMENT,2025,25,25,25,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,FOOD AND NUTRITION,2024,0,0,0,,0,,0,,0,,0,0
CPV,FOOD AND NUTRITION,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,FORESTRY,2024,0,0,0,,0,,0,,0,,0,0
CPV,FORESTRY,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,GENERAL AND NATIONAL LAW,2024,1,0,0,,0,,0,,1,100.00,0,0
CPV,GENERAL AND NATIONAL LAW,2025,8,8,8,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,2024,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,2025,5,5,5,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,GEOGRAPHY,2024,0,0,0,,0,,0,,0,,0,0
CPV,GEOGRAPHY,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,HOUSING,2024,0,0,0,,0,,0,,0,,0,0
CPV,HOUSING,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,HUMAN RIGHTS,2024,13,12,12,100.00,0,0.00,0,0.00,1,7.69,0,0
CPV,HUMAN RIGHTS,2025,19,18,18,100.00,0,0.00,0,0.00,0,0.00,1,0
CPV,INTERNATIONAL LAW,2024,10,9,9,100.00,0,0.00,0,0.00,1,10.00,0,0
CPV,INTERNATIONAL LAW,2025,44,43,43,100.00,0,0.00,0,0.00,0,0.00,1,0
CPV,INTERNATIONAL RELATIONS,2024,28,21,21,100.00,0,0.00,0,0.00,7,25.00,0,0
CPV,INTERNATIONAL RELATIONS,2025,48,45,45,100.00,0,0.00,0,0.00,2,4.17,1,0
CPV,INTERNATIONAL TRADE LAW,2024,1,0,0,,0,,0,,1,100.00,0,0
CPV,INTERNATIONAL TRADE LAW,2025,0,0,0,,0,,0,,0,,0,0
CPV,LAND FORMS AND ECOSYSTEMS,2024,0,0,0,,0,,0,,0,,0,0
CPV,LAND FORMS AND ECOSYSTEMS,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,LAND TRANSPORT,2024,0,0,0,,0,,0,,0,,0,0
CPV,LAND TRANSPORT,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
