iso3,p3_2025,p3_rank_2025,p1_2025,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,majority_alignment_rate_2025,vote_mix_distance_l1_2025,diff_from_world_avg_2025,region,broad_region
IND,91.22,129,71.78,92.76,161,5,26,192,83.9,2.6,13.5,83.85,13.07,-1.61,Southern Asia,Southern Asia
CYP,91.08,130,71.05,86.02,160,14,18,192,83.3,7.3,9.4,83.33,9.4,-1.76,Western Asia,Western Asia
SMR,91.08,130,71.51,96.36,160,14,18,192,83.3,7.3,9.4,83.33,9.4,-1.76,Southern Europe,Southern Europe
LIE,91.07,132,71.9,95.06,160,12,20,192,83.3,6.2,10.4,83.33,9.4,-1.77,Western Europe,Western Europe
CHE,91.04,133,68.45,93.4,160,10,22,192,83.3,5.2,11.5,83.33,9.4,-1.79,Western Europe,Western Europe
BLR,91.02,134,61.48,78.97,159,12,20,191,83.2,6.3,10.5,83.25,9.57,-1.82,Eastern Europe,Eastern Europe
AND,90.67,135,71.04,96.34,157,13,20,190,82.6,6.8,10.5,82.63,10.8,-2.16,Southern Europe,Southern Europe
STP,90.67,136,100.0,88.91,10,0,2,12,83.3,0.0,16.7,83.33,19.32,-2.17,Middle Africa,Sub-Saharan Africa
IRL,90.48,137,73.58,95.66,158,15,19,192,82.3,7.8,9.9,82.29,11.48,-2.35,Northern Europe,Northern Europe
PLW,90.18,138,50.23,93.17,142,22,9,173,82.1,12.7,5.2,82.08,15.51,-2.65,Micronesia,Oceania
MHL,90.12,139,66.66,90.05,148,10,23,181,81.8,5.5,12.7,81.77,12.53,-2.71,Micronesia,Oceania
AUT,89.87,140,69.03,95.12,156,16,20,192,81.2,8.3,10.4,81.25,13.56,-2.96,Western Europe,Western Europe
JPN,89.84,141,72.71,90.47,156,12,24,192,81.2,6.2,12.5,81.25,13.56,-3.0,Eastern Asia,Eastern Asia
SRB,89.7,142,71.39,89.59,139,6,26,171,81.3,3.5,15.2,81.29,16.4,-3.13,Southern Europe,Southern Europe
MDA,89.5,143,68.47,96.51,154,15,22,191,80.6,7.9,11.5,80.63,14.81,-3.33,Eastern Europe,Eastern Europe
TUR,89.33,144,69.6,85.96,151,16,21,188,80.3,8.5,11.2,80.32,15.43,-3.51,Western Asia,Western Asia
FJI,88.99,145,48.89,91.14,148,9,28,185,80.0,4.9,15.1,80.0,16.26,-3.84,Melanesia,Oceania
SVN,88.94,146,70.95,99.65,153,20,19,192,79.7,10.4,9.9,79.69,16.69,-3.9,Southern Europe,Southern Europe
BIH,88.87,147,69.85,97.38,152,15,24,191,79.6,7.9,12.6,79.58,16.9,-3.96,Southern Europe,Southern Europe
NOR,88.64,148,74.91,97.69,152,18,22,192,79.2,9.4,11.5,79.17,17.73,-4.19,Northern Europe,Northern Europe
AUS,88.63,149,66.06,87.3,152,20,20,192,79.2,10.4,10.4,79.17,17.73,-4.2,Australia and New Zealand,Oceania
ESP,88.63,149,70.69,99.34,152,20,20,192,79.2,10.4,10.4,79.17,17.73,-4.2,Southern Europe,Southern Europe
PRT,88.63,149,72.26,99.99,152,20,20,192,79.2,10.4,10.4,79.17,17.73,-4.2,Southern Europe,Southern Europe
MNE,88.32,152,69.93,99.67,151,20,21,192,78.6,10.4,10.9,78.65,18.77,-4.51,Southern Europe,Southern Europe
BEL,88.31,153,74.71,98.7,151,21,20,192,78.6,10.9,10.4,78.65,18.77,-4.52,Western Europe,Western Europe
GRC,88.31,153,71.43,98.04,151,21,20,192,78.6,10.9,10.4,78.65,18.77,-4.52,Southern Europe,Southern Europe
LUX,88.31,153,70.4,99.35,151,21,20,192,78.6,10.9,10.4,78.65,18.77,-4.52,Western Europe,Western Europe
ISL,88.26,156,69.31,98.01,150,18,23,191,78.5,9.4,12.0,78.53,19.0,-4.58,Northern Europe,Northern Europe
NLD,88.19,157,70.6,98.03,149,19,22,190,78.4,10.0,11.6,78.42,19.22,-4.64,Western Europe,Western Europe
PRK,88.18,158,57.69,92.01,142,21,18,181,78.5,11.6,9.9,78.45,19.16,-4.65,Eastern Asia,Eastern Asia
FIN,87.99,159,71.8,98.37,150,22,20,192,78.1,11.5,10.4,78.12,19.81,-4.84,Northern Europe,Northern Europe
