broad_region,iso3,region,p2_2024,p2_2025,p2_change,region_avg_change,contribution_to_region_avg_change,total_2024,total_2025
Western Asia,KWT,Western Asia,96.01,99.57,3.56,8.85,0.21,94,192
Western Asia,JOR,Western Asia,95.71,98.55,2.83,8.85,0.17,94,191
Western Asia,YEM,Western Asia,96.03,98.6,2.57,8.85,0.15,95,192
Western Asia,ARE,Western Asia,97.09,98.91,1.82,8.85,0.11,94,191
Western Asia,AZE,Western Asia,96.42,98.1,1.68,8.85,0.1,72,158
Western Asia,BHR,Western Asia,97.82,99.55,1.73,8.85,0.1,95,192
Western Asia,ISR,Western Asia,0.0,0.0,0.0,8.85,0.0,93,145
Western Europe,AUT,Western Europe,86.25,95.12,8.87,3.91,0.99,95,192
Western Europe,CHE,Western Europe,86.55,93.4,6.86,3.91,0.76,95,192
Western Europe,FRA,Western Europe,89.0,94.66,5.66,3.91,0.63,95,192
Western Europe,LIE,Western Europe,90.14,95.06,4.92,3.91,0.55,95,192
Western Europe,NLD,Western Europe,94.84,98.03,3.19,3.91,0.35,94,190
Western Europe,BEL,Western Europe,96.45,98.7,2.24,3.91,0.25,95,192
Western Europe,LUX,Western Europe,97.47,99.35,1.88,3.91,0.21,95,192
Western Europe,MCO,Western Europe,98.18,99.33,1.15,3.91,0.13,92,188
Western Europe,DEU,Western Europe,97.28,97.7,0.42,3.91,0.05,94,192
