iso3,p1_2024,yes_2024,no_2024,abstain_2024,total_2024,p1_2025,yes_2025,no_2025,abstain_2025,total_2025,p1_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
GNQ,78.26737333248889,66,0,5,71,79.59917466829097,153,3,5,161,1.33,90,93.0,95.0,2.0,Middle Africa,Sub-Saharan Africa
FJI,47.50419136387025,61,3,18,82,48.88596858343967,148,9,28,185,1.38,103,74.4,80.0,5.6,Melanesia,Oceania
COG,73.94641483401632,79,0,6,85,75.52904374689751,158,0,6,164,1.58,79,92.9,96.3,3.4,Middle Africa,Sub-Saharan Africa
GAB,81.11585058878646,80,0,4,84,82.9027732456904,172,0,2,174,1.79,90,95.2,98.9,3.7,Middle Africa,Sub-Saharan Africa
SVN,69.1487761528042,58,19,18,95,70.95151134637273,153,20,19,192,1.8,97,61.1,79.7,18.6,Southern Europe,Southern Europe
DEU,66.94778672453094,53,22,19,94,68.9720790045068,148,23,21,192,2.02,98,56.4,77.1,20.7,Western Europe,Western Europe
COL,88.37052646740506,90,0,5,95,90.64362459348985,186,0,6,192,2.27,97,94.7,96.9,2.2,South America,Latin America & Caribbean
SWE,69.14799078670217,55,21,19,95,71.52058493091495,149,22,21,192,2.37,97,57.9,77.6,19.7,Northern Europe,Northern Europe
NRU,60.584084247552745,31,15,4,50,63.342323822830686,37,15,4,56,2.76,6,62.0,66.1,4.1,Micronesia,Oceania
KIR,72.58243806311064,66,1,13,80,75.35252890581476,66,0,4,70,2.77,-10,82.5,94.3,11.8,Micronesia,Oceania
NER,77.49597943667015,79,5,4,88,80.77147022466711,161,9,1,171,3.28,83,89.8,94.2,4.4,Western Africa,Sub-Saharan Africa
MLI,56.61908323594167,80,10,3,93,60.08553783641413,170,8,2,180,3.47,87,86.0,94.4,8.4,Western Africa,Sub-Saharan Africa
AUS,62.50928784168977,56,22,17,95,66.05664129511304,152,20,20,192,3.55,97,58.9,79.2,20.3,Australia and New Zealand,Oceania
SUR,90.7705685742375,91,0,1,92,94.45478546566652,190,0,1,191,3.68,99,98.9,99.5,0.6,South America,Latin America & Caribbean
MHL,62.536082347200065,68,10,9,87,66.65727779507469,148,10,23,181,4.12,94,78.2,81.8,3.6,Micronesia,Oceania
BIH,65.60283853102574,61,15,19,95,69.84930707269814,152,15,24,191,4.25,96,64.2,79.6,15.4,Southern Europe,Southern Europe
UKR,62.71547262060756,47,21,26,94,67.0062107148359,135,25,28,188,4.29,94,50.0,71.8,21.8,Eastern Europe,Eastern Europe
TCD,87.88191455198013,87,0,2,89,92.26380328982904,182,0,4,186,4.38,97,97.8,97.8,0.0,Middle Africa,Sub-Saharan Africa
SOM,86.9873480299244,68,1,0,69,91.89661785060748,135,0,2,137,4.91,68,98.6,98.5,-0.1,Eastern Africa,Sub-Saharan Africa
MKD,45.95611581335178,52,19,20,91,51.334885180228824,133,24,31,188,5.38,97,57.1,70.7,13.6,Southern Europe,Southern Europe
BEN,81.0769485008054,58,0,4,62,86.99898217837062,78,0,1,79,5.92,17,93.5,98.7,5.2,Western Africa,Sub-Saharan Africa
TON,22.98560021327366,53,14,12,79,29.404877692988084,148,12,14,174,6.42,95,67.1,85.1,18.0,Polynesia,Oceania
CAF,46.09457990143219,63,0,6,69,53.66316945278043,138,6,14,158,7.57,89,91.3,87.3,-4.0,Middle Africa,Sub-Saharan Africa
HND,77.08254256916189,90,0,4,94,84.96099155414848,170,0,3,173,7.88,79,95.7,98.3,2.6,Central America,Latin America & Caribbean
MMR,90.00990747344349,90,0,3,93,98.46841381694952,185,0,3,188,8.46,95,96.8,98.4,1.6,South-eastern Asia,South-eastern Asia
BRA,64.89727479089274,84,0,10,94,73.97749119482957,183,0,9,192,9.08,98,89.4,95.3,5.9,South America,Latin America & Caribbean
ZMB,73.53158707016667,66,1,0,67,86.66581754830783,158,0,2,160,13.13,93,98.5,98.8,0.3,Eastern Africa,Sub-Saharan Africa
PNG,45.29321855774505,65,20,7,92,59.67689914073372,152,16,13,181,14.38,89,70.7,84.0,13.3,Melanesia,Oceania
COM,68.12550663887507,65,3,3,71,82.79697347232464,162,1,2,165,14.67,94,91.5,98.2,6.7,Eastern Africa,Sub-Saharan Africa
LBR,26.77855498181414,62,1,14,77,43.66990552645172,155,0,2,157,16.89,80,80.5,98.7,18.2,Western Africa,Sub-Saharan Africa
SSD,0.0,12,0,7,19,36.61905855324833,36,1,19,56,36.62,37,63.2,64.3,1.1,Eastern Africa,Sub-Saharan Africa
STP,5.8576153533524,33,1,1,35,100.0,10,0,2,12,94.14,-23,94.3,83.3,-11.0,Middle Africa,Sub-Saharan Africa
COD,,68,1,4,73,75.64948701287754,130,0,9,139,,66,93.2,93.5,0.3,Middle Africa,Sub-Saharan Africa
