partner,sim_2024,sim_2025,sim_change,is_key_partner,region,sim_CHN_2024,sim_CHN_2025,sim_CHN_change,sim_RUS_2024,sim_RUS_2025,sim_RUS_change
VUT,-0.2155727271443866,-0.8375450205236347,-0.622,False,Melanesia,0.6137857701752957,0.8556099130913641,0.2418,0.1764828020006293,0.5909949532055017,0.4145
COL,-0.2661138848919056,-0.8864994376320411,-0.6204,False,South America,0.6641301958338324,0.8838244834037161,0.2197,0.2386980188146656,0.6355143005896582,0.3968
TCD,-0.2706631697279256,-0.890723681362996,-0.6201,False,Middle Africa,0.7116702964125089,0.9047228473916182,0.1931,0.3005830563260913,0.6650024751377059,0.3644
PHL,-0.263477777620917,-0.8817714069196475,-0.6183,False,South-eastern Asia,0.6997157779998371,0.89016871568372,0.1905,0.2588414429342563,0.6321248668192548,0.3733
CMR,-0.2000612526174332,-0.8153268091145588,-0.6153,False,Middle Africa,0.6151906680328924,0.8384284568468765,0.2232,0.2105794696709672,0.6228504954253694,0.4123
MWI,-0.1432928315290845,-0.7584308744403465,-0.6151,False,Eastern Africa,0.4272747790959453,0.7675407311318135,0.3403,0.076784374434011,0.509032101300245,0.4322
CPV,-0.2331683294950626,-0.847826086956523,-0.6147,False,Western Africa,0.5534700659692903,0.849493484618803,0.296,0.2290653405309458,0.5885147282124253,0.3594
HTI,-0.2041573766762269,-0.8149621910610471,-0.6108,False,Caribbean,0.6277862969370742,0.8321517223609005,0.2044,0.2005648842255601,0.5918817869693357,0.3913
QAT,-0.2925227357505681,-0.9016528062876954,-0.6091,False,Western Asia,0.7076151619993528,0.8934840542563187,0.1859,0.2413952571826438,0.6650024751377059,0.4236
MUS,-0.2824311336291398,-0.8901636390843138,-0.6077,False,Eastern Africa,0.6875458795849662,0.8871330839038918,0.1996,0.2312177356354548,0.629018870849193,0.3978
TLS,-0.2619233228885849,-0.8679529053982725,-0.606,False,South-eastern Asia,0.6955876252872221,0.8703706246647478,0.1748,0.2573143414476493,0.600454218970757,0.3431
MNG,-0.3095457452319639,-0.9121429881975068,-0.6026,False,Eastern Asia,0.7444007919740446,0.9266867882817722,0.1823,0.3157948735948422,0.6800204009180464,0.3642
NPL,-0.2963866580843977,-0.8986604919535637,-0.6023,False,Southern Asia,0.6962025316455693,0.9072186392985404,0.211,0.3275676408271188,0.6781392897046883,0.3506
ATG,-0.2485598756195421,-0.8487969539050798,-0.6002,False,Caribbean,0.6430031468087887,0.8728469520238407,0.2298,0.2325581395348836,0.6202924608013588,0.3877
HND,-0.2429735470752182,-0.8424669960219133,-0.5995,False,Central America,0.6759896636165794,0.8372659068557364,0.1613,0.2386980188146656,0.5772815562961586,0.3386
MDV,-0.2792397189348929,-0.8787349290678163,-0.5995,False,Southern Asia,0.7513321975755067,0.8980894343674467,0.1468,0.2286050219817026,0.6393725479781209,0.4108
ZMB,-0.2279672571030654,-0.8269545815956363,-0.599,False,Eastern Africa,0.52231518209091,0.8383234847571083,0.316,0.144912569842299,0.5927539826679218,0.4478
LCA,-0.2588952058267115,-0.8551363835781408,-0.5962,False,Caribbean,0.747856921653823,0.8498570781558134,0.102,0.2543395091990003,0.6096382405784158,0.3553
TZA,-0.2734238116636464,-0.8688100585711453,-0.5954,False,Eastern Africa,0.7388684911352424,0.8696023893684346,0.1307,0.3052414315659403,0.6331772560052198,0.3279
BLZ,-0.2619233228885849,-0.8557668821131935,-0.5938,False,Central America,0.732197500302339,0.8571568516546757,0.125,0.2339221285887721,0.6017414297621277,0.3678
KWT,-0.2959046138327883,-0.887701217661447,-0.5918,False,Western Asia,0.7036638210360329,0.8846790457755954,0.181,0.2441860465116278,0.6724881289571492,0.4283
BHR,-0.3095457452319639,-0.8986604919535637,-0.5891,False,Western Asia,0.7688073753174559,0.895948842537068,0.1271,0.3157948735948422,0.6724881289571492,0.3567
COM,-0.2262848189276258,-0.814172443121175,-0.5879,False,Eastern Africa,0.5593914894074135,0.8253656185005576,0.266,0.0915365116690397,0.5895468738850855,0.498
KHM,-0.3214513508178086,-0.904140129099622,-0.5827,False,South-eastern Asia,0.732197500302339,0.9128535376792768,0.1807,0.3274909800242808,0.6668369682096101,0.3393
BGD,-0.3095457452319639,-0.8913043478260884,-0.5818,False,Southern Asia,0.732197500302339,0.8997924409449165,0.1676,0.2573143414476493,0.6669833586407486,0.4097
SLV,-0.2706631697279256,-0.8481211369348121,-0.5775,False,Central America,0.651359254343652,0.8605232931572846,0.2092,0.2543395091990003,0.6297616977776274,0.3754
BRA,-0.32335909071658,-0.8991858993220234,-0.5758,True,South America,0.7242672088068489,0.9078515628377672,0.1836,0.3294345637345081,0.6688032347617336,0.3394
PAK,-0.2697856331168814,-0.8417791471075861,-0.572,False,Southern Asia,0.8164257874493834,0.9358165417914608,0.1194,0.4922139877617535,0.7742767862341436,0.2821
ZAF,-0.3059670614315681,-0.8773874532778532,-0.5714,True,Southern Africa,0.7237325048262803,0.8966435188521158,0.1729,0.2890221695443186,0.6688032347617336,0.3798
