Country,TopicTag,yes_pct_2024,votes_2024,yes_pct_2025,votes_2025,yes_pct_change
BOL,RESOURCES (GENERAL),100.0,1.0,100.0,7.0,0.0
BOL,SOCIAL DEVELOPMENT,100.0,7.0,100.0,3.0,0.0
BOL,TAXATION,100.0,1.0,100.0,1.0,0.0
BOL,TRADE RELATED FINANCE,100.0,1.0,100.0,1.0,0.0
BOL,WELFARE AND SOCIAL SERVICES,100.0,2.0,100.0,4.0,0.0
BOL,WILDLIFE,100.0,1.0,100.0,1.0,0.0
BOL,WOMEN'S ADVANCEMENT,100.0,1.0,100.0,1.0,0.0
BOL,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,90.0,10.0,100.0,32.0,10.0
BOL,SOCIAL CONDITIONS AND EQUITY,88.9,18.0,100.0,5.0,11.1
BOL,HUMAN RIGHTS,86.7,15.0,100.0,1.0,13.3
BOL,DEVELOPMENT,85.7,7.0,100.0,31.0,14.3
BOL,NATURAL RESOURCES AND THE ENVIRONMENT,85.7,7.0,100.0,16.0,14.3
BOL,POLITICAL EVENTS AND ISSUES,85.7,14.0,100.0,1.0,14.3
BOL,INTERNATIONAL RELATIONS,79.3,29.0,100.0,4.0,20.7
BOL,SCIENCE AND TECHNOLOGY,75.0,8.0,100.0,2.0,25.0
BOL,ENERGY RESOURCES,0.0,1.0,100.0,2.0,100.0
BOL,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,,,100.0,2.0,
BOL,BANKING AND INVESTMENT,,,100.0,3.0,
BOL,COMMODITIES,,,100.0,1.0,
BOL,CONSUMERS AND COOPERATIVES,,,100.0,1.0,
BOL,CROP MANAGEMENT,,,100.0,1.0,
BOL,CULTURAL DEVELOPMENT,,,100.0,1.0,
BOL,CULTURE,,,100.0,1.0,
BOL,DISARMAMENT AND MILITARY QUESTIONS,82.9,41.0,,,
BOL,DISCRIMINATION,77.8,9.0,,,
BOL,EDUCATION,,,100.0,1.0,
BOL,EDUCATIONAL POLICY AND PLANNING,,,100.0,1.0,
BOL,FOOD AND NUTRITION,,,100.0,1.0,
BOL,GEOGRAPHY,,,100.0,1.0,
BOL,HEALTH,,,100.0,1.0,
BOL,INTERNATIONAL TRADE LAW,100.0,1.0,,,
BOL,LAND FORMS AND ECOSYSTEMS,,,100.0,1.0,
BOL,LAND TRANSPORT,,,100.0,1.0,
BOL,LAW OF THE SEA,100.0,1.0,,,
BOL,MINERAL RESOURCES,100.0,1.0,,,
BOL,MONETARY ISSUES,,,100.0,1.0,
BOL,NUCLEAR SCIENCE,100.0,4.0,,,
BOL,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,100.0,4.0,,,
BOL,RECOMMENDATIONS,100.0,1.0,,,
BOL,SPACE SCIENCES,33.3,3.0,,,
BOL,SPECIAL ECONOMIC AREAS,,,100.0,1.0,
BOL,STATISTICS,,,100.0,1.0,
BOL,TELECOMMUNICATIONS,,,100.0,1.0,
BOL,TRADE IN COMMODITIES,,,100.0,1.0,
BOL,TRADE IN MANUFACTURES; BARRIERS TO TRADE,,,100.0,1.0,
BOL,TRANSPORT AND COMMUNICATIONS,,,100.0,4.0,
BOL,TRANSPORT POLICY AND PLANNING,,,100.0,3.0,
BOL,WATER,100.0,2.0,,,
BRA,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,100.0,1.0,83.3,6.0,-16.7
BRA,SCIENCE AND TECHNOLOGY,100.0,8.0,93.8,16.0,-6.2
BRA,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,80.0,5.0,75.0,8.0,-5.0
BRA,DEVELOPMENT,100.0,7.0,97.7,44.0,-2.3
BRA,INTERNATIONAL LAW,100.0,10.0,97.7,44.0,-2.3
BRA,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,100.0,10.0,97.8,45.0,-2.2
BRA,COMPUTER SCIENCE AND TECHNOLOGY,100.0,1.0,100.0,6.0,0.0
BRA,DEVELOPMENT FINANCE,100.0,2.0,100.0,11.0,0.0
BRA,ECONOMIC CONDITIONS,100.0,2.0,100.0,11.0,0.0
BRA,ECONOMIC THEORY,100.0,1.0,100.0,1.0,0.0
BRA,ENVIRONMENT,100.0,3.0,100.0,25.0,0.0
BRA,GENERAL AND NATIONAL LAW,100.0,1.0,100.0,8.0,0.0
BRA,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,100.0,3.0,100.0,5.0,0.0
BRA,INTERNATIONAL TRADE,100.0,3.0,100.0,6.0,0.0
BRA,LAW OF THE SEA,100.0,1.0,100.0,2.0,0.0
BRA,MARINE RESOURCES,100.0,3.0,100.0,7.0,0.0
BRA,MINERAL RESOURCES,100.0,1.0,100.0,1.0,0.0
BRA,NUCLEAR SCIENCE,100.0,4.0,100.0,3.0,0.0
BRA,POLLUTION,100.0,3.0,100.0,3.0,0.0
BRA,PUBLIC FINANCE,100.0,1.0,100.0,4.0,0.0
